row,Happiness_Rank,Country,Region,Happiness_Score,GDP_per_Capita,Family_(Social_Support),Health_(Life_Expectancy),Freedom,Trust_(Government_Corruption),Generosity,Year,,,,,,,,,,
70,71,Romania,Central and Eastern Europe,5.528,1.170,0.728,0.676,0.367,0.007,0.129,2016,,,,,,,,,,
71,72,Estonia,Central and Eastern Europe,5.517,1.280,1.052,0.681,0.415,0.185,0.084,2016,,,,,,,,,,
72,73,Jamaica,Latin America and Caribbean,5.510,0.893,0.964,0.595,0.436,0.043,0.222,2016,,,,,,,,,,
73,74,Croatia,Central and Eastern Europe,5.488,1.186,0.608,0.705,0.239,0.040,0.184,2016,,,,,,,,,,
74,75,Hong Kong,Eastern Asia,5.458,1.511,0.870,0.953,0.481,0.316,0.401,2016,,,,,,,,,,
75,76,Somalia,Sub-Saharan Africa,5.440,0.000,0.336,0.115,0.568,0.312,0.272,2016,,,,,,,,,,
76,77,Kosovo,Central and Eastern Europe,5.401,0.901,0.661,0.540,0.144,0.065,0.280,2016,,,,,,,,,,
77,78,Turkey,Middle East and Northern Africa,5.389,1.165,0.877,0.647,0.239,0.123,0.047,2016,,,,,,,,,,
78,79,Indonesia,Southeastern Asia,5.314,0.951,0.876,0.494,0.392,0.003,0.565,2016,,,,,,,,,,
79,80,Jordan,Middle East and Northern Africa,5.303,0.997,0.862,0.607,0.360,0.133,0.143,2016,,,,,,,,,,
80,81,Azerbaijan,Central and Eastern Europe,5.291,1.124,0.760,0.545,0.353,0.179,0.056,2016,,,,,,,,,,
81,82,Philippines,Southeastern Asia,5.279,0.812,0.879,0.470,0.549,0.118,0.217,2016,,,,,,,,,,
82,83,China,Eastern Asia,5.245,1.028,0.794,0.736,0.440,0.027,0.050,2016,,,,,,,,,,
83,84,Bhutan,Southern Asia,5.196,0.853,0.908,0.498,0.461,0.162,0.485,2016,,,,,,,,,,
84,85,Kyrgyzstan,Central and Eastern Europe,5.185,0.560,0.954,0.554,0.402,0.048,0.384,2016,,,,,,,,,,
85,86,Serbia,Central and Eastern Europe,5.177,1.034,0.813,0.646,0.157,0.043,0.207,2016,,,,,,,,,,
86,87,Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.934,0.644,0.708,0.095,0.000,0.299,2016,,,,,,,,,,
87,88,Montenegro,Central and Eastern Europe,5.161,1.078,0.742,0.635,0.151,0.127,0.172,2016,,,,,,,,,,
88,89,Dominican Republic,Latin America and Caribbean,5.155,1.028,0.995,0.577,0.523,0.124,0.213,2016,,,,,,,,,,
89,90,Morocco,Middle East and Northern Africa,5.151,0.841,0.386,0.595,0.256,0.084,0.041,2016,,,,,,,,,,
90,91,Hungary,Central and Eastern Europe,5.145,1.241,0.932,0.676,0.198,0.045,0.099,2016,,,,,,,,,,
91,92,Pakistan,Southern Asia,5.132,0.688,0.261,0.403,0.146,0.139,0.312,2016,,,,,,,,,,
92,93,Lebanon,Middle East and Northern Africa,5.129,1.123,0.642,0.762,0.262,0.031,0.237,2016,,,,,,,,,,
93,94,Portugal,Western Europe,5.123,1.276,0.944,0.794,0.447,0.015,0.117,2016,,,,,,,,,,
94,95,Macedonia,Central and Eastern Europe,5.121,1.019,0.782,0.647,0.277,0.070,0.235,2016,,,,,,,,,,
95,96,Vietnam,Southeastern Asia,5.061,0.740,0.791,0.662,0.560,0.116,0.251,2016,,,,,,,,,,
96,97,Somaliland Region,Sub-Saharan Africa,5.057,0.256,0.759,0.331,0.391,0.368,0.515,2016,,,,,,,,,,
97,98,Tunisia,Middle East and Northern Africa,5.045,0.977,0.432,0.596,0.236,0.082,0.039,2016,,,,,,,,,,
98,99,Greece,Western Europe,5.033,1.249,0.755,0.800,0.058,0.041,0.000,2016,,,,,,,,,,
99,100,Tajikistan,Central and Eastern Europe,4.996,0.488,0.756,0.531,0.434,0.135,0.260,2016,,,,,,,,,,
100,101,Mongolia,Eastern Asia,4.907,0.989,1.090,0.555,0.360,0.033,0.345,2016,,,,,,,,,,
101,102,Laos,Southeastern Asia,4.876,0.680,0.550,0.383,0.522,0.224,0.431,2016,,,,,,,,,,
102,103,Nigeria,Sub-Saharan Africa,4.875,0.752,0.645,0.051,0.279,0.031,0.232,2016,,,,,,,,,,
103,104,Honduras,Latin America and Caribbean,4.871,0.694,0.756,0.584,0.268,0.069,0.204,2016,,,,,,,,,,
104,105,Iran,Middle East and Northern Africa,4.813,1.118,0.389,0.642,0.225,0.056,0.385,2016,,,,,,,,,,
105,106,Zambia,Sub-Saharan Africa,4.795,0.612,0.638,0.236,0.427,0.115,0.179,2016,,,,,,,,,,
106,107,Nepal,Southern Asia,4.793,0.446,0.697,0.501,0.370,0.070,0.382,2016,,,,,,,,,,
107,108,Palestinian Territories,Middle East and Northern Africa,4.754,0.670,0.716,0.568,0.177,0.106,0.112,2016,,,,,,,,,,
108,109,Albania,Central and Eastern Europe,4.655,0.955,0.502,0.730,0.319,0.053,0.168,2016,,,,,,,,,,
109,110,Bangladesh,Southern Asia,4.643,0.542,0.247,0.530,0.398,0.126,0.191,2016,,,,,,,,,,
110,111,Sierra Leone,Sub-Saharan Africa,4.635,0.365,0.628,0.000,0.307,0.082,0.239,2016,,,,,,,,,,
111,112,Iraq,Middle East and Northern Africa,4.575,1.075,0.592,0.511,0.249,0.136,0.196,2016,,,,,,,,,,
112,113,Namibia,Sub-Saharan Africa,4.574,0.933,0.704,0.347,0.486,0.104,0.078,2016,,,,,,,,,,
113,114,Cameroon,Sub-Saharan Africa,4.513,0.525,0.625,0.127,0.427,0.061,0.227,2016,,,,,,,,,,
114,115,Ethiopia,Sub-Saharan Africa,4.508,0.293,0.379,0.346,0.367,0.172,0.295,2016,,,,,,,,,,
115,116,South Africa,Sub-Saharan Africa,4.459,1.024,0.961,0.186,0.425,0.084,0.137,2016,,,,,,,,,,
116,117,Sri Lanka,Southern Asia,4.415,0.973,0.848,0.620,0.508,0.080,0.470,2016,,,,,,,,,,
117,118,India,Southern Asia,4.404,0.740,0.292,0.451,0.403,0.087,0.250,2016,,,,,,,,,,
118,119,Myanmar,Southeastern Asia,4.395,0.341,0.700,0.399,0.427,0.202,0.820,2016,,,,,,,,,,
119,120,Egypt,Middle East and Northern Africa,4.362,0.954,0.498,0.521,0.188,0.104,0.127,2016,,,,,,,,,,
120,121,Armenia,Central and Eastern Europe,4.360,0.861,0.625,0.641,0.140,0.036,0.078,2016,,,,,,,,,,
121,122,Kenya,Sub-Saharan Africa,4.356,0.523,0.762,0.301,0.406,0.067,0.413,2016,,,,,,,,,,
122,123,Ukraine,Central and Eastern Europe,4.324,0.873,1.014,0.586,0.129,0.018,0.204,2016,,,,,,,,,,
123,124,Ghana,Sub-Saharan Africa,4.276,0.631,0.494,0.297,0.410,0.033,0.212,2016,,,,,,,,,,
124,125,Congo (Kinshasa),Sub-Saharan Africa,4.272,0.057,0.807,0.188,0.156,0.061,0.255,2016,,,,,,,,,,
125,126,Georgia,Central and Eastern Europe,4.252,0.838,0.192,0.640,0.325,0.319,0.068,2016,,,,,,,,,,
126,127,Congo (Brazzaville),Sub-Saharan Africa,4.236,0.771,0.478,0.282,0.379,0.098,0.121,2016,,,,,,,,,,
127,128,Senegal,Sub-Saharan Africa,4.219,0.443,0.774,0.405,0.311,0.117,0.191,2016,,,,,,,,,,
128,129,Bulgaria,Central and Eastern Europe,4.217,1.113,0.925,0.678,0.212,0.006,0.128,2016,,,,,,,,,,
129,130,Mauritania,Sub-Saharan Africa,4.201,0.614,0.841,0.286,0.127,0.180,0.227,2016,,,,,,,,,,
130,131,Zimbabwe,Sub-Saharan Africa,4.193,0.350,0.715,0.160,0.254,0.086,0.185,2016,,,,,,,,,,
131,132,Malawi,Sub-Saharan Africa,4.156,0.087,0.147,0.294,0.414,0.076,0.310,2016,,,,,,,,,,
132,133,Sudan,Sub-Saharan Africa,4.139,0.631,0.819,0.298,0.000,0.100,0.181,2016,,,,,,,,,,
133,134,Gabon,Sub-Saharan Africa,4.121,1.159,0.724,0.349,0.281,0.093,0.062,2016,,,,,,,,,,
134,135,Mali,Sub-Saharan Africa,4.073,0.313,0.863,0.163,0.275,0.136,0.211,2016,,,,,,,,,,
135,136,Haiti,Latin America and Caribbean,4.028,0.341,0.296,0.275,0.121,0.145,0.480,2016,,,,,,,,,,
136,137,Botswana,Sub-Saharan Africa,3.974,1.094,0.892,0.348,0.441,0.108,0.124,2016,,,,,,,,,,
137,138,Comoros,Sub-Saharan Africa,3.956,0.275,0.603,0.300,0.154,0.184,0.183,2016,,,,,,,,,,
138,139,Ivory Coast,Sub-Saharan Africa,3.916,0.555,0.576,0.045,0.407,0.155,0.203,2016,,,,,,,,,,
139,140,Cambodia,Southeastern Asia,3.907,0.556,0.538,0.425,0.589,0.081,0.403,2016,,,,,,,,,,
140,141,Angola,Sub-Saharan Africa,3.866,0.847,0.664,0.050,0.006,0.084,0.121,2016,,,,,,,,,,
141,142,Niger,Sub-Saharan Africa,3.856,0.133,0.605,0.262,0.380,0.172,0.210,2016,,,,,,,,,,
142,143,S. Sudan,Sub-Saharan Africa,3.832,0.394,0.185,0.158,0.197,0.130,0.259,2016,,,,,,,,,,
143,144,Chad,Sub-Saharan Africa,3.763,0.422,0.632,0.038,0.128,0.050,0.187,2016,,,,,,,,,,
144,145,Burkina Faso,Sub-Saharan Africa,3.739,0.320,0.631,0.213,0.334,0.125,0.244,2016,,,,,,,,,,
145,145,Uganda,Sub-Saharan Africa,3.739,0.347,0.910,0.196,0.437,0.064,0.271,2016,,,,,,,,,,
146,147,Yemen,Middle East and Northern Africa,3.724,0.579,0.475,0.310,0.229,0.059,0.098,2016,,,,,,,,,,
147,148,Madagascar,Sub-Saharan Africa,3.695,0.280,0.461,0.371,0.137,0.075,0.220,2016,,,,,,,,,,
148,149,Tanzania,Sub-Saharan Africa,3.666,0.472,0.776,0.357,0.318,0.051,0.315,2016,,,,,,,,,,
149,150,Liberia,Sub-Saharan Africa,3.622,0.107,0.504,0.232,0.257,0.049,0.241,2016,,,,,,,,,,
150,151,Guinea,Sub-Saharan Africa,3.607,0.224,0.311,0.188,0.310,0.119,0.299,2016,,,,,,,,,,
151,152,Rwanda,Sub-Saharan Africa,3.515,0.328,0.616,0.319,0.543,0.505,0.236,2016,,,,,,,,,,
152,153,Benin,Sub-Saharan Africa,3.484,0.395,0.104,0.210,0.397,0.067,0.202,2016,,,,,,,,,,
153,154,Afghanistan,Southern Asia,3.360,0.382,0.110,0.173,0.164,0.071,0.313,2016,,,,,,,,,,
154,155,Togo,Sub-Saharan Africa,3.303,0.281,0.000,0.248,0.347,0.116,0.175,2016,,,,,,,,,,
155,156,Syria,Middle East and Northern Africa,3.069,0.747,0.149,0.630,0.069,0.172,0.484,2016,,,,,,,,,,
156,157,Burundi,Sub-Saharan Africa,2.905,0.068,0.234,0.157,0.043,0.094,0.203,2016,,,,,,,,,,
0,1,Norway,Western Europe,7.537,1.616,1.534,0.797,0.635,0.316,0.362,2017,,,,,,,,,,
1,2,Denmark,Western Europe,7.522,1.482,1.551,0.793,0.626,0.401,0.355,2017,,,,,,,,,,
2,3,Iceland,Western Europe,7.504,1.481,1.611,0.834,0.627,0.154,0.476,2017,,,,,,,,,,
3,4,Switzerland,Western Europe,7.494,1.565,1.517,0.858,0.620,0.367,0.291,2017,,,,,,,,,,
4,5,Finland,Western Europe,7.469,1.444,1.540,0.809,0.618,0.383,0.245,2017,,,,,,,,,,
5,6,Netherlands,Western Europe,7.377,1.504,1.429,0.811,0.585,0.283,0.470,2017,,,,,,,,,,
6,7,Canada,North America,7.316,1.479,1.481,0.835,0.611,0.287,0.436,2017,,,,,,,,,,
7,8,New Zealand,Australia and New Zealand,7.314,1.406,1.548,0.817,0.614,0.383,0.500,2017,,,,,,,,,,
8,9,Sweden,Western Europe,7.284,1.494,1.478,0.831,0.613,0.384,0.385,2017,,,,,,,,,,
9,10,Australia,Australia and New Zealand,7.284,1.484,1.510,0.844,0.602,0.301,0.478,2017,,,,,,,,,,
10,11,Israel,Middle East and Northern Africa,7.213,1.375,1.376,0.838,0.406,0.085,0.330,2017,,,,,,,,,,
11,12,Costa Rica,Latin America and Caribbean,7.079,1.110,1.416,0.760,0.580,0.100,0.215,2017,,,,,,,,,,
12,13,Austria,Western Europe,7.006,1.487,1.460,0.815,0.568,0.221,0.316,2017,,,,,,,,,,
13,14,United States of America,North America,6.993,1.546,1.420,0.774,0.506,0.136,0.393,2017,,,,,,,,,,
14,15,Ireland,Western Europe,6.977,1.536,1.558,0.810,0.573,0.298,0.428,2017,,,,,,,,,,
15,16,Germany,Western Europe,6.951,1.488,1.473,0.799,0.563,0.277,0.336,2017,,,,,,,,,,
16,17,Belgium,Western Europe,6.891,1.464,1.462,0.818,0.540,0.251,0.232,2017,,,,,,,,,,
17,18,Luxembourg,Western Europe,6.863,1.742,1.458,0.845,0.597,0.319,0.283,2017,,,,,,,,,,
18,19,United Kingdom,Western Europe,6.714,1.442,1.496,0.805,0.508,0.265,0.493,2017,,,,,,,,,,
19,20,Chile,Latin America and Caribbean,6.652,1.253,1.284,0.819,0.377,0.082,0.327,2017,,,,,,,,,,
20,21,United Arab Emirates,Middle East and Northern Africa,6.648,1.626,1.266,0.727,0.608,0.324,0.361,2017,,,,,,,,,,
21,22,Brazil,Latin America and Caribbean,6.635,1.107,1.431,0.617,0.437,0.111,0.162,2017,,,,,,,,,,
22,23,Czech Republic,Central and Eastern Europe,6.609,1.353,1.434,0.754,0.491,0.037,0.088,2017,,,,,,,,,,
23,24,Argentina,Latin America and Caribbean,6.599,1.185,1.440,0.695,0.495,0.060,0.109,2017,,,,,,,,,,
24,25,Mexico,Latin America and Caribbean,6.578,1.153,1.211,0.710,0.413,0.133,0.121,2017,,,,,,,,,,
25,26,Singapore,Southeastern Asia,6.572,1.692,1.354,0.949,0.550,0.464,0.346,2017,,,,,,,,,,
26,27,Malta,Western Europe,6.527,1.343,1.488,0.822,0.589,0.153,0.575,2017,,,,,,,,,,
27,28,Uruguay,Latin America and Caribbean,6.454,1.218,1.412,0.719,0.579,0.178,0.175,2017,,,,,,,,,,
28,29,Guatemala,Latin America and Caribbean,6.454,0.872,1.256,0.540,0.531,0.077,0.283,2017,,,,,,,,,,
29,30,Panama,Latin America and Caribbean,6.452,1.234,1.373,0.706,0.550,0.071,0.211,2017,,,,,,,,,,
30,31,France,Western Europe,6.442,1.431,1.388,0.844,0.470,0.173,0.130,2017,,,,,,,,,,
31,32,Thailand,Southeastern Asia,6.424,1.128,1.426,0.647,0.580,0.032,0.572,2017,,,,,,,,,,
32,33,Taiwan Province of China,-,6.422,1.434,1.385,0.794,0.361,0.064,0.258,2017,,,,,,,,,,
33,34,Spain,Western Europe,6.403,1.384,1.532,0.889,0.409,0.071,0.190,2017,,,,,,,,,,
34,35,Qatar,Middle East and Northern Africa,6.375,1.871,1.274,0.710,0.604,0.439,0.330,2017,,,,,,,,,,
35,36,Colombia,Latin America and Caribbean,6.357,1.071,1.402,0.595,0.477,0.047,0.149,2017,,,,,,,,,,
36,37,Saudi Arabia,Middle East and Northern Africa,6.344,1.531,1.287,0.590,0.450,0.273,0.148,2017,,,,,,,,,,
37,38,Trinidad and Tobago,Latin America and Caribbean,6.168,1.361,1.380,0.520,0.519,0.009,0.325,2017,,,,,,,,,,
38,39,Kuwait,Middle East and Northern Africa,6.105,1.633,1.260,0.632,0.496,0.215,0.228,2017,,,,,,,,,,
39,40,Slovakia,Central and Eastern Europe,6.098,1.325,1.505,0.713,0.296,0.024,0.137,2017,,,,,,,,,,
40,41,Bahrain,Middle East and Northern Africa,6.087,1.488,1.323,0.653,0.537,0.257,0.173,2017,,,,,,,,,,
41,42,Malaysia,Southeastern Asia,6.084,1.291,1.285,0.619,0.402,0.066,0.417,2017,,,,,,,,,,
42,43,Nicaragua,Latin America and Caribbean,6.071,0.737,1.287,0.653,0.448,0.131,0.302,2017,,,,,,,,,,
43,44,Ecuador,Latin America and Caribbean,6.008,1.001,1.286,0.686,0.455,0.140,0.150,2017,,,,,,,,,,
44,45,El Salvador,Latin America and Caribbean,6.003,0.910,1.182,0.596,0.432,0.090,0.078,2017,,,,,,,,,,
45,46,Poland,Central and Eastern Europe,5.973,1.292,1.446,0.699,0.520,0.059,0.158,2017,,,,,,,,,,
46,47,Uzbekistan,Central and Eastern Europe,5.971,0.786,1.549,0.498,0.658,0.247,0.416,2017,,,,,,,,,,
47,48,Italy,Western Europe,5.964,1.395,1.445,0.853,0.256,0.028,0.173,2017,,,,,,,,,,
48,49,Russia,Central and Eastern Europe,5.963,1.282,1.469,0.547,0.374,0.033,0.052,2017,,,,,,,,,,
49,50,Belize,-,5.956,0.908,1.081,0.450,0.548,0.097,0.240,2017,,,,,,,,,,
50,51,Japan,Eastern Asia,5.920,1.417,1.436,0.913,0.506,0.164,0.121,2017,,,,,,,,,,
51,52,Lithuania,Central and Eastern Europe,5.902,1.315,1.474,0.629,0.234,0.012,0.010,2017,,,,,,,,,,
52,53,Algeria,Middle East and Northern Africa,5.872,1.092,1.146,0.618,0.233,0.146,0.069,2017,,,,,,,,,,
53,54,Latvia,Central and Eastern Europe,5.850,1.261,1.405,0.639,0.326,0.074,0.153,2017,,,,,,,,,,
54,55,South Korea,Eastern Asia,5.838,1.402,1.128,0.900,0.258,0.063,0.207,2017,,,,,,,,,,
55,56,Moldova,Central and Eastern Europe,5.838,0.729,1.252,0.589,0.241,0.010,0.209,2017,,,,,,,,,,
56,57,Romania,Central and Eastern Europe,5.825,1.218,1.150,0.685,0.457,0.004,0.134,2017,,,,,,,,,,
57,58,Bolivia,Latin America and Caribbean,5.823,0.834,1.228,0.474,0.559,0.060,0.226,2017,,,,,,,,,,
58,59,Turkmenistan,Central and Eastern Europe,5.822,1.131,1.493,0.438,0.418,0.259,0.250,2017,,,,,,,,,,
59,60,Kazakhstan,Central and Eastern Europe,5.819,1.285,1.384,0.606,0.437,0.119,0.202,2017,,,,,,,,,,
60,61,North Cyprus,Western Europe,5.810,1.347,1.186,0.835,0.471,0.155,0.267,2017,,,,,,,,,,
61,62,Slovenia,Central and Eastern Europe,5.758,1.341,1.453,0.791,0.573,0.045,0.243,2017,,,,,,,,,,
62,63,Peru,Latin America and Caribbean,5.715,1.035,1.219,0.630,0.450,0.047,0.127,2017,,,,,,,,,,
63,64,Mauritius,Sub-Saharan Africa,5.629,1.189,1.210,0.638,0.491,0.042,0.361,2017,,,,,,,,,,
64,65,Cyprus,Western Europe,5.621,1.356,1.131,0.845,0.355,0.041,0.271,2017,,,,,,,,,,
65,66,Estonia,Central and Eastern Europe,5.611,1.321,1.477,0.695,0.479,0.183,0.099,2017,,,,,,,,,,
66,67,Belarus,Central and Eastern Europe,5.569,1.157,1.445,0.638,0.295,0.156,0.155,2017,,,,,,,,,,
67,68,Libya,Middle East and Northern Africa,5.525,1.102,1.358,0.520,0.466,0.093,0.152,2017,,,,,,,,,,
68,69,Turkey,Middle East and Northern Africa,5.500,1.198,1.338,0.638,0.301,0.100,0.047,2017,,,,,,,,,,
69,70,Paraguay,Latin America and Caribbean,5.493,0.933,1.507,0.579,0.474,0.091,0.224,2017,,,,,,,,,,
70,71,Hong Kong S.A.R. of China,-,5.472,1.552,1.263,0.943,0.491,0.294,0.374,2017,,,,,,,,,,
71,72,Philippines,Southeastern Asia,5.430,0.858,1.254,0.468,0.585,0.099,0.194,2017,,,,,,,,,,
72,73,Serbia,Central and Eastern Europe,5.395,1.069,1.258,0.651,0.209,0.041,0.220,2017,,,,,,,,,,
73,74,Jordan,Middle East and Northern Africa,5.336,0.991,1.239,0.605,0.418,0.120,0.172,2017,,,,,,,,,,
74,75,Hungary,Central and Eastern Europe,5.324,1.286,1.343,0.688,0.176,0.037,0.078,2017,,,,,,,,,,
75,76,Jamaica,Latin America and Caribbean,5.311,0.926,1.368,0.641,0.474,0.055,0.234,2017,,,,,,,,,,
76,77,Croatia,Central and Eastern Europe,5.293,1.223,0.968,0.701,0.256,0.043,0.248,2017,,,,,,,,,,
77,78,Kosovo,Central and Eastern Europe,5.279,0.951,1.138,0.541,0.260,0.057,0.320,2017,,,,,,,,,,
78,79,China,Eastern Asia,5.273,1.081,1.161,0.741,0.473,0.023,0.029,2017,,,,,,,,,,
79,80,Pakistan,Southern Asia,5.269,0.727,0.673,0.402,0.235,0.124,0.315,2017,,,,,,,,,,
80,81,Indonesia,Southeastern Asia,5.262,0.996,1.274,0.492,0.443,0.015,0.612,2017,,,,,,,,,,
81,82,Venezuela,Latin America and Caribbean,5.250,1.128,1.431,0.617,0.154,0.064,0.065,2017,,,,,,,,,,
82,83,Montenegro,Central and Eastern Europe,5.237,1.121,1.238,0.667,0.195,0.088,0.198,2017,,,,,,,,,,
83,84,Morocco,Middle East and Northern Africa,5.235,0.878,0.775,0.598,0.408,0.088,0.032,2017,,,,,,,,,,
84,85,Azerbaijan,Central and Eastern Europe,5.234,1.154,1.152,0.541,0.398,0.181,0.045,2017,,,,,,,,,,
85,86,Dominican Republic,Latin America and Caribbean,5.230,1.079,1.402,0.575,0.553,0.114,0.187,2017,,,,,,,,,,
86,87,Greece,Western Europe,5.227,1.289,1.239,0.810,0.096,0.043,0.000,2017,,,,,,,,,,
87,88,Lebanon,Middle East and Northern Africa,5.225,1.075,1.130,0.735,0.289,0.038,0.264,2017,,,,,,,,,,
88,89,Portugal,Western Europe,5.195,1.315,1.367,0.796,0.498,0.016,0.095,2017,,,,,,,,,,
89,90,Bosnia and Herzegovina,Central and Eastern Europe,5.182,0.982,1.069,0.705,0.204,0.000,0.329,2017,,,,,,,,,,
90,91,Honduras,Latin America and Caribbean,5.181,0.731,1.144,0.583,0.348,0.073,0.236,2017,,,,,,,,,,
91,92,Macedonia,Central and Eastern Europe,5.175,1.065,1.208,0.645,0.326,0.060,0.254,2017,,,,,,,,,,
92,93,Somalia,-,5.151,0.023,0.721,0.114,0.602,0.282,0.292,2017,,,,,,,,,,
93,94,Vietnam,Southeastern Asia,5.074,0.789,1.277,0.652,0.571,0.088,0.235,2017,,,,,,,,,,
94,95,Nigeria,Sub-Saharan Africa,5.074,0.784,1.216,0.057,0.395,0.026,0.231,2017,,,,,,,,,,
95,96,Tajikistan,Central and Eastern Europe,5.041,0.525,1.271,0.529,0.472,0.146,0.249,2017,,,,,,,,,,
96,97,Bhutan,Southern Asia,5.011,0.885,1.340,0.496,0.502,0.173,0.474,2017,,,,,,,,,,
97,98,Kyrgyzstan,Central and Eastern Europe,5.004,0.596,1.394,0.553,0.455,0.039,0.429,2017,,,,,,,,,,
98,99,Nepal,Southern Asia,4.962,0.480,1.179,0.504,0.440,0.073,0.394,2017,,,,,,,,,,
99,100,Mongolia,Eastern Asia,4.955,1.027,1.493,0.558,0.394,0.033,0.338,2017,,,,,,,,,,
100,101,South Africa,Sub-Saharan Africa,4.829,1.055,1.385,0.187,0.479,0.073,0.139,2017,,,,,,,,,,
101,102,Tunisia,Middle East and Northern Africa,4.805,1.007,0.868,0.613,0.290,0.087,0.050,2017,,,,,,,,,,
102,103,Palestinian Territories,Middle East and Northern Africa,4.775,0.716,1.156,0.566,0.255,0.089,0.114,2017,,,,,,,,,,
103,104,Egypt,Middle East and Northern Africa,4.735,0.990,0.997,0.520,0.282,0.114,0.129,2017,,,,,,,,,,
104,105,Bulgaria,Central and Eastern Europe,4.714,1.161,1.434,0.708,0.289,0.011,0.113,2017,,,,,,,,,,
105,106,Sierra Leone,Sub-Saharan Africa,4.709,0.368,0.984,0.006,0.319,0.071,0.293,2017,,,,,,,,,,
106,107,Cameroon,Sub-Saharan Africa,4.695,0.564,0.946,0.133,0.430,0.051,0.236,2017,,,,,,,,,,
107,108,Iran,Middle East and Northern Africa,4.692,1.157,0.712,0.639,0.249,0.049,0.387,2017,,,,,,,,,,
108,109,Albania,Central and Eastern Europe,4.644,0.996,0.804,0.731,0.381,0.040,0.201,2017,,,,,,,,,,
109,110,Bangladesh,Southern Asia,4.608,0.587,0.735,0.533,0.478,0.124,0.172,2017,,,,,,,,,,
110,111,Namibia,-,4.574,0.964,1.098,0.339,0.520,0.093,0.077,2017,,,,,,,,,,
111,112,Kenya,Sub-Saharan Africa,4.553,0.560,1.068,0.310,0.453,0.065,0.445,2017,,,,,,,,,,
112,113,Mozambique,Sub-Saharan Africa,4.550,0.234,0.871,0.107,0.481,0.179,0.322,2017,,,,,,,,,,
113,114,Myanmar,Southeastern Asia,4.545,0.367,1.123,0.398,0.514,0.189,0.838,2017,,,,,,,,,,
114,115,Senegal,Sub-Saharan Africa,4.535,0.479,1.180,0.409,0.378,0.115,0.183,2017,,,,,,,,,,
115,116,Zambia,Sub-Saharan Africa,4.514,0.636,1.003,0.258,0.462,0.078,0.250,2017,,,,,,,,,,
116,117,Iraq,Middle East and Northern Africa,4.497,1.103,0.979,0.501,0.289,0.107,0.200,2017,,,,,,,,,,
117,118,Gabon,Sub-Saharan Africa,4.465,1.198,1.156,0.357,0.312,0.076,0.044,2017,,,,,,,,,,
118,119,Ethiopia,Sub-Saharan Africa,4.460,0.339,0.865,0.353,0.409,0.165,0.313,2017,,,,,,,,,,
119,120,Sri Lanka,Southern Asia,4.440,1.010,1.260,0.625,0.561,0.074,0.491,2017,,,,,,,,,,
120,121,Armenia,Central and Eastern Europe,4.376,0.901,1.007,0.638,0.198,0.027,0.083,2017,,,,,,,,,,
121,122,India,Southern Asia,4.315,0.792,0.754,0.455,0.470,0.092,0.232,2017,,,,,,,,,,
122,123,Mauritania,Sub-Saharan Africa,4.292,0.648,1.272,0.285,0.096,0.137,0.202,2017,,,,,,,,,,
123,124,Congo (Brazzaville),Sub-Saharan Africa,4.291,0.809,0.832,0.290,0.435,0.080,0.121,2017,,,,,,,,,,
124,125,Georgia,Central and Eastern Europe,4.286,0.951,0.571,0.650,0.309,0.252,0.054,2017,,,,,,,,,,
125,126,Congo (Kinshasa),Sub-Saharan Africa,4.280,0.092,1.229,0.191,0.236,0.060,0.246,2017,,,,,,,,,,
126,127,Mali,Sub-Saharan Africa,4.190,0.476,1.281,0.169,0.307,0.105,0.183,2017,,,,,,,,,,
127,128,Ivory Coast,Sub-Saharan Africa,4.180,0.603,0.905,0.049,0.448,0.130,0.201,2017,,,,,,,,,,
128,129,Cambodia,Southeastern Asia,4.168,0.602,1.006,0.430,0.633,0.068,0.386,2017,,,,,,,,,,
129,130,Sudan,Sub-Saharan Africa,4.139,0.660,1.214,0.291,0.015,0.090,0.182,2017,,,,,,,,,,
130,131,Ghana,Sub-Saharan Africa,4.120,0.667,0.874,0.296,0.423,0.025,0.257,2017,,,,,,,,,,
131,132,Ukraine,Central and Eastern Europe,4.096,0.895,1.395,0.576,0.123,0.023,0.270,2017,,,,,,,,,,
132,133,Uganda,Sub-Saharan Africa,4.081,0.381,1.130,0.218,0.443,0.057,0.326,2017,,,,,,,,,,
133,134,Burkina Faso,Sub-Saharan Africa,4.032,0.350,1.043,0.216,0.324,0.120,0.251,2017,,,,,,,,,,
134,135,Niger,Sub-Saharan Africa,4.028,0.162,0.993,0.269,0.364,0.139,0.229,2017,,,,,,,,,,
135,136,Malawi,Sub-Saharan Africa,3.970,0.233,0.513,0.315,0.467,0.073,0.287,2017,,,,,,,,,,
136,137,Chad,Sub-Saharan Africa,3.936,0.438,0.954,0.041,0.162,0.054,0.216,2017,,,,,,,,,,
137,138,Zimbabwe,Sub-Saharan Africa,3.875,0.376,1.083,0.197,0.336,0.095,0.189,2017,,,,,,,,,,
138,139,Lesotho,Sub-Saharan Africa,3.808,0.521,1.190,0.000,0.391,0.119,0.157,2017,,,,,,,,,,
139,140,Angola,Sub-Saharan Africa,3.795,0.858,1.104,0.050,0.000,0.070,0.098,2017,,,,,,,,,,
140,141,Afghanistan,Southern Asia,3.794,0.401,0.582,0.181,0.106,0.061,0.312,2017,,,,,,,,,,
